task_id,strategy,pass_rate,tokens_used,planning_time
real_0c9d344e-6452-4d0c-a474-34d203f04f6c,contract_first,0.0,43.0,0.053750000000000006
real_0c9d344e-6452-4d0c-a474-34d203f04f6c,pattern_skeleton,0.0,70.0,0.08750000000000001
real_0c9d344e-6452-4d0c-a474-34d203f04f6c,multi_view,0.0,27.0,0.03375
real_0c9d344e-6452-4d0c-a474-34d203f04f6c,baseline_direct,0.0,0.0,0.0
real_a47ab6c2-23fa-47d3-862d-f4c725245bea,contract_first,0.0,43.0,0.053750000000000006
real_a47ab6c2-23fa-47d3-862d-f4c725245bea,pattern_skeleton,0.0,70.0,0.08750000000000001
real_a47ab6c2-23fa-47d3-862d-f4c725245bea,multi_view,0.0,27.0,0.03375
real_a47ab6c2-23fa-47d3-862d-f4c725245bea,baseline_direct,0.0,0.0,0.0
real_a4826c63-5e86-45f7-899b-6ed2a3aa60f4,contract_first,0.0,43.0,0.053750000000000006
real_a4826c63-5e86-45f7-899b-6ed2a3aa60f4,pattern_skeleton,0.0,70.0,0.08750000000000001
real_a4826c63-5e86-45f7-899b-6ed2a3aa60f4,multi_view,0.0,27.0,0.03375
real_a4826c63-5e86-45f7-899b-6ed2a3aa60f4,baseline_direct,0.0,0.0,0.0
real_305e0763-dd63-4883-9133-55504503953d,contract_first,0.0,43.0,0.053750000000000006
real_305e0763-dd63-4883-9133-55504503953d,pattern_skeleton,0.0,70.0,0.08750000000000001
real_305e0763-dd63-4883-9133-55504503953d,multi_view,0.0,27.0,0.03375
real_305e0763-dd63-4883-9133-55504503953d,baseline_direct,0.0,0.0,0.0
real_c686d72a-f0da-4e30-9eca-b75f317e5931,contract_first,0.0,43.0,0.053750000000000006
real_c686d72a-f0da-4e30-9eca-b75f317e5931,pattern_skeleton,0.0,70.0,0.08750000000000001
real_c686d72a-f0da-4e30-9eca-b75f317e5931,multi_view,0.0,27.0,0.03375
real_c686d72a-f0da-4e30-9eca-b75f317e5931,baseline_direct,0.0,0.0,0.0
