variant,metric,mean,ci_lower,ci_upper
full,failure_rate,0.5519999999999999,0.5072000000000001,0.5928100000000001
full,starvation_rate,0.1708,0.15160000000000004,0.19119999999999998
full,avg_reward,21496.829999999998,17952.23675,25287.447249999997
full,win_rate,0.44799999999999995,0.40279999999999994,0.4892
full,cost_proxy,42.0,42.0,42.0
no_graph_embeddings,failure_rate,0.5998555200156771,0.5546121308657588,0.650501826177944
no_graph_embeddings,starvation_rate,0.23399999999999999,0.18200000000000002,0.28441
no_graph_embeddings,avg_reward,15200.73,7654.128500000001,22759.75125
no_graph_embeddings,win_rate,0.4001444799843229,0.3552973691841476,0.4527335165928906
no_graph_embeddings,cost_proxy,42.0,42.0,42.0
no_multi_agent,failure_rate,0.5860000000000001,0.5319900000000001,0.6384000000000001
no_multi_agent,starvation_rate,0.23399999999999999,0.18678999999999998,0.28959999999999997
no_multi_agent,avg_reward,15200.73,7837.63325,23516.748999999993
no_multi_agent,win_rate,0.414,0.36118999999999996,0.4676
no_multi_agent,cost_proxy,65.5,65.5,65.5
no_rl_allocation,failure_rate,0.7116,0.65919,0.7652199999999999
no_rl_allocation,starvation_rate,0.46319999999999995,0.4292000000000001,0.4960100000000001
no_rl_allocation,avg_reward,5002.629999999999,2211.9445,7989.072999999998
no_rl_allocation,win_rate,0.28840000000000005,0.23276,0.34561
no_rl_allocation,cost_proxy,42.0,42.0,42.0
predictor_only,failure_rate,0.32283323862498037,0.32283323862498037,0.32283323862498037
predictor_only,win_rate,0.6771667613750196,0.6771667613750196,0.6771667613750196
