method,episode,reward,success,steps,constraint_penalty,token_spent,verifier_calls,budgeted_success,catastrophic_failure,action_entropy
aegis_full,0,71.51866919705272,1.0,5,0.07458134171671,20500.0,0.0,1.0,0.0,1.332179069519043
aegis_full,1,78.11658575738835,1.0,16,0.08332281830033345,20500.0,3.0,1.0,0.0,1.511086106300354
aegis_full,2,-48.42650210494379,0.0,16,0.09202335569231275,28250.0,0.0,0.0,0.0,1.700164794921875
aegis_full,3,-123.83962750526973,0.0,20,0.09202335569231275,23550.0,0.0,0.0,0.0,1.0097626447677612
aegis_flat,0,-44.73022602304408,0.0,14,0.09202335569231275,26450.0,7.0,0.0,0.0,1.648846983909607
aegis_flat,1,-59.15762675530948,0.0,18,0.09202335569231275,24150.0,1.0,0.0,0.0,1.4546247720718384
aegis_reduced,0,-16.109421505931763,0.0,8,0.09202335569231275,31100.0,4.0,0.0,0.0,1.5595810413360596
aegis_reduced,1,-85.00590697963372,0.0,20,0.09202335569231275,26500.0,1.0,0.0,0.0,1.4023889303207397
aegis_no_calibration,0,-157.24167367147834,0.0,10,0.09202335569231275,21550.0,0.0,0.0,0.0,1.0296530723571777
aegis_no_calibration,1,1.9416143380646105,1.0,7,0.08784233454094309,23750.0,16.0,1.0,0.0,1.2770342826843262
aegis_no_graph,0,63.85504393477879,1.0,7,0.08649148282327009,26500.0,0.0,1.0,0.0,1.7478679418563843
aegis_no_graph,1,-54.26398625137863,0.0,22,0.09202335569231275,29100.0,0.0,0.0,0.0,1.1839638948440552
aegis_no_constraints,0,80.47623935023643,1.0,17,0.0,0.0,0.0,1.0,0.0,1.5118964910507202
aegis_no_constraints,1,40.00925618847036,1.0,15,0.0,0.0,0.0,1.0,0.0,1.7140874862670898
aegis_warm_start,0,45.59315859281449,1.0,4,0.06513215599000001,14100.0,1.0,1.0,0.0,1.3862943649291992
aegis_warm_start,1,-64.73927271639138,0.0,20,0.09202335569231275,26150.0,0.0,0.0,0.0,1.1582146883010864
baseline_always_direct,0,-7.180000000000003,0.0,24,0.0,52800.0,0.0,0.0,0.0,0.0
baseline_always_direct,1,-7.180000000000003,0.0,24,0.0,52800.0,0.0,0.0,0.0,0.0
baseline_always_decompose,0,-6.96,0.0,24,0.0,19200.0,0.0,0.0,0.0,0.0
baseline_always_decompose,1,-6.96,0.0,24,0.0,19200.0,0.0,0.0,0.0,0.0
baseline_heuristic,0,23.790370685777365,1.0,17,0.0,25000.0,4.0,1.0,0.0,0.0
baseline_heuristic,1,15.101454452393295,1.0,14,0.0,17850.0,4.0,1.0,0.0,0.0
baseline_contextual_bandit,0,-11.377783346957706,0.0,9,0.0,14850.0,0.0,0.0,0.0,0.0
baseline_contextual_bandit,1,-7.697613779373214,0.0,7,0.0,8300.0,0.0,0.0,0.0,0.0
