method,episode,reward,success,steps,constraint_penalty,token_spent,verifier_calls,budgeted_success,catastrophic_failure,action_entropy,override_rate,override_win_rate,override_regret_rate
tarl_aegis,0,34.63497226176375,1.0,14,0.08649148282327009,26200.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,1,77.70148697110614,1.0,9,0.06513215599000001,16950.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,2,43.86146174361289,1.0,11,0.07712320754503901,19100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,3,75.96074514089268,1.0,11,0.07458134171671,22400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,4,78.94821275433024,1.0,9,0.06861894039100001,16850.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,5,33.05517007887012,1.0,10,0.0814697981114816,20750.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,6,79.95831899419346,1.0,7,0.06125795110000001,13600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,7,62.5452370405059,1.0,9,0.06861894039100001,15250.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,8,35.89085702592669,1.0,10,0.0814697981114816,20750.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,9,77.0421734667211,1.0,9,0.06513215599000001,16950.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,10,52.20399990369994,1.0,11,0.07941088679053511,21300.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,11,34.7059035176931,1.0,13,0.08332281830033345,25350.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,12,53.89223775021159,1.0,8,0.0717570463519,15850.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,13,78.27223430476452,1.0,9,0.06861894039100001,18000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,14,62.174510320830635,1.0,10,0.07458134171671,19650.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,15,13.613203428827397,1.0,15,0.08905810108684878,28750.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,16,78.58763352572933,1.0,7,0.056953279000000016,12550.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,17,81.76296688490339,1.0,7,0.06125795110000001,13600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,18,62.0585131786914,1.0,8,0.06861894039100001,15250.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
tarl_aegis,19,77.33115156059762,1.0,7,0.06125795110000001,13600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
